Project Started,Ward,Affordable Units
N Street Village,Ward 2,95
Old Engine Co. 13,Ward 6,48
Ontario Court,Ward 1,27
Otis Place Apartments,Ward 5,1
Park Southern Apartments,Ward 8,361
Park Van Ness,Ward 3,26
Parkchester Apartments,Ward 8,94
Parkway Overlook,Ward 8,220
Partner Arms 1,Ward 4,14
Partner Arms 2,Ward 4,12
Patterson House,Ward 2,7
Penn 11,Ward 6,3
Phyllis Wheatley,Ward 6,84
Plaza West,Ward 6,223
"Pleasant Park Cooperative, Inc.",Ward 7,41
Pomeroy Gardens,Ward 8,60
Pullman Place,Ward 6,3
Reed Row,Ward 1,15
"Residence at Minnesota Gardens Cooperative, Inc",Ward 7,48
Riverside Baptist Church Development (The Banks),Ward 6,21
RL Christian,Ward 6,33
Saint Elizabeths East Campus Redevelopment Phase I,Ward 8,220
Sarah's Circle,Ward 1,49
Sheriff Road Apartments,Ward 7,2
Sherman Avenue Apartments,Ward 1,27
Skyland Town Center,Ward 7,143
SOME- Spring Road,Ward 1,37
South Capitol Multi-Family Building,Ward 8,195
Square 769N Affordable,Ward 6,36
St. Matthew's Redevelopment,Ward 6,23
St. Thomas,Ward 2,4
Stone Hill Condominiums,Ward 6,2
Takoma Central,Ward 4,9
Takoma Place TOPA,Ward 4,105
The Adele,Ward 2,1
The Apex,Ward 1,2
The Apollo,Ward 6,35
The Chaplain,Ward 5,2
The Conway Center,Ward 7,178
The Corcoran,Ward 2,3
The Edison at Union Market,Ward 5,38
The Frequency,Ward 3,2
The Havana,Ward 6,4
The Hendrix,Ward 5,4
The Highline at Union Market,Ward 5,20
The Homestead Apartments,Ward 4,45
The Hoxton,Ward 6,1
The Jacob,Ward 7,2
The Kingston,Ward 4,23
The Lexicon,Ward 5,16
The Maryland,Ward 6,7
The Morgan,Ward 1,4
The Norwood,Ward 2,84
The One-Five,Ward 6,5
The Perla,Ward 6,6
The Shay East,Ward 1,7
The Shay West,Ward 1,12
The Solstice,Ward 7,146
The V at Georgia Ave,Ward 1,2
The View at the Waterfront North,Ward 6,5
The View at the Waterfront South,Ward 6,4
The Warder,Ward 1,1
The Wren,Ward 1,126
The Yards Parcel L2 - The Estate,Ward 6,53
The Yards Parcel O-2,Ward 6,39
Thompson Place,Ward 4,19
Tivoli Gardens TOPA,Ward 5,49
Totten Mews,Ward 5,5
Tourus,Ward 6,2
Union Market Apartments,Ward 5,45
United 2nd Street Tenant Association,Ward 8,25
Unity 25,Ward 4,27
Valencia Apartments,Ward 4,29
Wah Luck House,Ward 2,152
Walter Reed - Developer only,Ward 4,318
Walter Reed - HELP Walter Reed,Ward 4,77
Walter Reed - TPWR,Ward 4,80
Walter Reed Building V/U-A/B,Ward 4,2
Wash Gateway - Mid Atlantic major modification,Ward 5,30
Watkins Alley,Ward 6,5
WDC1 - TOPA,Ward 7,202
West End Parcels (Square 50 - West End Affordable),Ward 2,55
West Half St,Ward 6,11
Willow & Maple,Ward 4,5
Woodmont Crossing,Ward 8,176
